工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,12cm輕隔間,79mm 內部隔板 (1-hr),135mm 內部隔板 (2-hr),138mm 內部隔板 (1-hr),玻璃隔間1CM,廁所隔牆2.5cm,廁所隔牆3cm,輕隔間 (1hr) 79mm,輕隔間 (1hr) 138mm,輕隔間 (2hr) 135mm
F1099,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1100,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1101,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1102,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1103,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1104,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1105,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1106,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1107,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1108,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1109,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1110,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F1111,隔離室,,,,,,,,,,,,,,,,,,,,,,,
F1112,前室,,,,,,,,,,,,,,,,,,,,,,,
F1113,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1114,B梯廳,,,,,,,,,,,,,,,,,,,,,,,
F1115,B無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F1116,B安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F1117,無障礙浴室,,,,,,,,,,,,,,,,,,,,,,,
F1118,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F1119,A區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F1120,女廁,,廁所隔牆3cm,=1.34+2.27+1.04,2.18,=E213*F213,=G213,衛生間門60*220,3,0.60,2.20,=J213*K213*L213,=M213,=H213-N213,,,,,,,=O213,,,
